"","population density P","proportion A"
"AL",37.5040390993531,0.171346262778412
"TX",49.9098200187327,0.128085652719533
"WI",40.8770940517174,0.174000952888396
"NC",83.0189138864429,0.164270426976744
"FL",142.563428331864,0.206960920068775
"PA",112.918834699199,0.18536081875887
"MN",26.6758979526788,0.161995501138752
"HI",86.9249129185027,0.190755321970816
"ND",7.29189027167016,0.147357300867443
"AK",1.03578489697672,0.125949478096232
"NY",165.485100473462,0.16778758853634
"RI",386.494515513846,0.176241216507453
"KY",44.9683736903596,0.165667820941762
"TN",63.7912645874337,0.16430168089311
"CA",97.5575642901072,0.146860486066864
"KS",21.2512333115336,0.158256413736935
"NM",7.51359359915851,0.181157398444351
"WV",30.5348167544976,0.201857374523128
"UT",15.7955856224211,0.112391689816545
"NJ",462.381470038113,0.163463626323455
"DE",190.270995724168,0.192541815412154
"MI",67.5833752373093,0.175541730554337
"MS",24.7677669048944,0.163113721785013
"WY",2.33407395538956,0.17267692586254
"NV",12.9888143696343,0.161382779182123
"MT",4.07812586930737,0.189129819143901
"OR",17.4058070324459,0.18033723522854
"NH",57.4158155631952,0.186476605852239
"GA",73.3601545900322,0.141869206618709
"VA",83.2326066980576,0.157649179680805
"VT",25.8752284431667,0.200224856432433
"LA",38.6218360392214,0.15773112908539
"NE",14.7949549935615,0.155792348659487
"WA",45.2569769070389,0.156757193707229
"OK",25.5163549086069,0.157453208675371
"SC",63.5071229169717,0.180101992371868
"CT",285.129142766093,0.182
"AZ",24.2393682373963,0.181537830498378
"MA",332.130360117998,0.168539356197478
"AR",22.0830387099594,0.170718549929326
"IL",89.6091694415099,0.159618706126743
"CO",24.3045669967332,0.145940602502843
"MD",232.100883053192,0.156926387829671
"MO",35.5374476948935,0.170074301685365
"IA",22.2481998659094,0.173340226142813
"SD",7.33955746472754,0.167742086746851
"ME",16.0957797793441,0.211528656953572
"OH",110.545191610103,0.17342305254425
"IN",72.4725861103319,0.159770579425777
"ID",9.8344881986581,0.161084471747734
